Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
134,Rider,Vic Willoughby,18.968264824723384,2.756035538868882,10.700158208116738,5,1953-06-11,Norton [1953],MotoGP,
135,Rider,Leslie Archer,26.3007768825181,4.386395674296777,13.14158985962777,1,1950-06-09,Norton [1950],MotoGP,
136,Rider,Charlie Gray,27.33508487029114,2.598606254929107,19.53926610550382,5,1953-08-14,AJS [1953],MotoGP,
137,Rider,Jack Varlow,22.949890326304786,3.1757601097905988,13.422609996932989,3,1952-06-15,Norton [1952],MotoGP,
138,Rider,Jack Harding,24.496663587129007,2.6343902886651396,16.593492721133586,5,1953-06-11,Norton [1953],MotoGP,
139,Rider,Humphrey Ranson,24.269118575822514,2.055857174878777,18.101547051186184,9,1953-07-04,Norton [1953],MotoGP,
140,Rider,John Fisher,23.560263025635468,2.6210147195841618,15.697218866882983,5,1954-06-17,Matchless [1954],MotoGP,
141,Rider,Ernie Walker,19.449965144119172,3.663866309778312,8.458366214784236,2,1951-06-07,Norton [1951],MotoGP,
142,Rider,Leslie Harris,24.90086699406931,2.6139615923066017,17.058982217149506,5,1952-06-15,Norton [1952],MotoGP,
143,Rider,Llewellyn Ranson,22.805485769361773,2.192078671703334,16.22924975425177,8,1960-06-16,Norton [1960],MotoGP,
144,Rider,John Dale,23.17899860651453,4.386338600024845,10.019982806439995,1,1950-06-09,Norton [1950],MotoGP,
145,Rider,Freddy Fairbairn,25.380904723124623,3.9909799723682564,13.407964806019853,2,1950-08-17,Vincent-HRD [1950],MotoGP,
146,Rider,Robert MacDonald,22.235921462364015,4.381327797468261,9.091938069959232,1,1950-06-09,AJS [1950],MotoGP,
147,Rider,Ernie Barrett,26.59080876953204,2.203906091317647,19.979090495579097,8,1957-06-06,Norton [1957],MotoGP,
148,Rider,Manliff Barrington,28.078260493663183,3.7984877216627706,16.682797328674873,2,1951-06-07,Norton [1951],MotoGP,
149,Rider,Jack Fletcher,23.394611149729204,4.826282945917737,8.915762311975993,1,1950-06-09,BSA [1950],MotoGP,
150,Bike,BSA [1950],23.3946111497292,4.826282945917737,8.915762311975989,1,1950-06-09,,MotoGP,
151,Bike,Moto Guzzi [1950],24.352040615277044,2.6516402245999338,16.397119941477243,5,1950-09-09,,MotoGP,
152,Rider,William Hall,21.339201871613156,2.0060393027573804,15.321083963341014,10,1956-09-08,Norton [1956],MotoGP,
153,Rider,Reginald Harrison,23.261844084470404,4.423021688931426,9.992779017676126,1,1950-06-09,Triumph [1950],MotoGP,
154,Rider,Christopher Horn,20.647572536882766,3.6284788661621628,9.762135938396277,2,1951-06-07,Norton [1951],MotoGP,
155,Rider,Edmund Iffland,20.875497945644984,4.395440951924546,7.689175089871345,1,1950-06-09,Norton [1950],MotoGP,
156,Rider,Jim Kentish,24.986111706674542,3.2008299822321735,15.383621759978022,3,1951-06-07,AJS [1951],MotoGP,
157,Rider,Max Klein,23.45304629257659,3.6284639309572806,12.56765449970475,2,1951-06-07,AJS [1951],MotoGP,
158,Rider,William Maddrick,22.523999071778277,3.650310759582146,11.57306679303184,2,1951-06-07,Velocette [1951],MotoGP,
159,Rider,Cecyl Sandford,21.84574799153642,3.1209872120956583,12.482786355249445,4,1953-10-03,MV Agusta [1953],MotoGP,
160,Bike,Gilera [1950],30.120999027952728,2.6756369112913903,22.094088294078556,5,1950-09-09,,MotoGP,
161,Bike,MV Agusta [1950],24.972871091430147,2.824699438303028,16.498772776521065,4,1950-09-09,,MotoGP,
